epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1190.28,0.6334,0.29602,0.00246,0.84173,0.87359,0.882,0.69139,0.7109,0.56263,0.00365,0.000380225,0.000380225,0.000380225
85,1203.81,0.61958,0.28179,0.00233,0.87646,0.89167,0.89732,0.70501,0.70381,0.5123,0.00368,0.000379324,0.000379324,0.000379324
86,1217.24,0.62294,0.28286,0.00236,0.88496,0.87888,0.90455,0.71817,0.67784,0.47374,0.0035,0.000378423,0.000378423,0.000378423
87,1230.9,0.62208,0.2894,0.00238,0.89313,0.85842,0.90127,0.70966,0.69545,0.51528,0.0036,0.000377523,0.000377523,0.000377523
88,1244.31,0.61554,0.28265,0.00234,0.87379,0.88963,0.90294,0.71188,0.68693,0.48883,0.00353,0.000376622,0.000376622,0.000376622
89,1257.83,0.61971,0.28427,0.00233,0.89095,0.88084,0.91227,0.71683,0.68927,0.48606,0.00353,0.000375721,0.000375721,0.000375721
90,1271.26,0.60302,0.26759,0.00226,0.84759,0.88339,0.89058,0.69884,0.697,0.52271,0.00358,0.00037482,0.00037482,0.00037482
91,1285.02,0.61365,0.27826,0.00238,0.86965,0.89439,0.91692,0.7192,0.70386,0.46779,0.00367,0.000373919,0.000373919,0.000373919
92,1298.83,0.60593,0.27796,0.00231,0.87634,0.88523,0.90987,0.71569,0.69354,0.49546,0.00359,0.000373018,0.000373018,0.000373018
93,1312.42,0.60521,0.28158,0.00228,0.87352,0.87565,0.89459,0.70451,0.68918,0.5196,0.00352,0.000372117,0.000372117,0.000372117
94,1326.17,0.61096,0.28515,0.00229,0.90045,0.89674,0.90119,0.7062,0.70284,0.46795,0.00365,0.000371216,0.000371216,0.000371216
95,1339.93,0.60752,0.27028,0.00235,0.91071,0.89405,0.92005,0.72396,0.69661,0.46134,0.00367,0.000370315,0.000370315,0.000370315
96,1353.42,0.60511,0.26821,0.00229,0.89982,0.88872,0.91245,0.72444,0.68011,0.47991,0.00353,0.000369415,0.000369415,0.000369415
97,1368.18,0.60617,0.2604,0.00231,0.86949,0.8896,0.8962,0.70823,0.68888,0.50724,0.00355,0.000368514,0.000368514,0.000368514
98,1381.69,0.60008,0.2683,0.00229,0.88502,0.89285,0.90967,0.71856,0.69423,0.51771,0.00361,0.000367613,0.000367613,0.000367613
99,1396.51,0.60673,0.26001,0.00225,0.9065,0.86122,0.89865,0.71057,0.68309,0.50938,0.00351,0.000366712,0.000366712,0.000366712
100,1410.24,0.60398,0.27256,0.00228,0.89919,0.87705,0.8924,0.7065,0.68898,0.4945,0.00357,0.000365811,0.000365811,0.000365811
101,1423.92,0.61069,0.2707,0.00227,0.89049,0.88105,0.90001,0.71517,0.69686,0.5001,0.00363,0.00036491,0.00036491,0.00036491
102,1437.85,0.601,0.25991,0.00225,0.89222,0.8817,0.90115,0.70927,0.69843,0.48788,0.00364,0.000364009,0.000364009,0.000364009
103,1451.53,0.5883,0.25314,0.00219,0.90935,0.88664,0.91521,0.72341,0.69984,0.44936,0.0037,0.000363108,0.000363108,0.000363108
104,1465.29,0.60574,0.26167,0.00226,0.88236,0.89073,0.89904,0.71173,0.67673,0.4931,0.00346,0.000362207,0.000362207,0.000362207
105,1478.75,0.59141,0.24569,0.00224,0.87622,0.91322,0.90766,0.71393,0.68556,0.47747,0.00352,0.000361306,0.000361306,0.000361306
106,1492.26,0.57498,0.25936,0.00227,0.88238,0.88615,0.90212,0.71484,0.68299,0.47062,0.00351,0.000360406,0.000360406,0.000360406
107,1505.7,0.59016,0.25503,0.00229,0.88661,0.86757,0.90365,0.70491,0.71172,0.51105,0.00369,0.000359505,0.000359505,0.000359505
108,1519.22,0.59036,0.25671,0.00225,0.89082,0.88819,0.9054,0.71856,0.67582,0.49241,0.00348,0.000358604,0.000358604,0.000358604
109,1532.66,0.57746,0.24171,0.00215,0.88882,0.87983,0.89186,0.70254,0.68977,0.52078,0.00357,0.000357703,0.000357703,0.000357703
110,1546.31,0.57593,0.2495,0.00214,0.89021,0.88606,0.91118,0.7211,0.67371,0.46729,0.00347,0.000356802,0.000356802,0.000356802
111,1560.09,0.58687,0.25256,0.0022,0.87662,0.88496,0.90838,0.71598,0.69311,0.50131,0.0036,0.000355901,0.000355901,0.000355901
112,1573.97,0.58796,0.25421,0.00225,0.86961,0.89992,0.91013,0.71371,0.70811,0.52745,0.0037,0.000355,0.000355,0.000355
113,1587.64,0.57724,0.25488,0.00216,0.89765,0.86194,0.88981,0.70552,0.69096,0.51538,0.00357,0.000354099,0.000354099,0.000354099
114,1601.19,0.58319,0.25751,0.00221,0.891,0.88508,0.91279,0.7178,0.69243,0.47776,0.00355,0.000353198,0.000353198,0.000353198
115,1614.96,0.58181,0.25795,0.00222,0.8792,0.89324,0.90399,0.70782,0.69934,0.47689,0.00362,0.000352297,0.000352297,0.000352297
116,1628.55,0.57873,0.24009,0.00216,0.89643,0.87534,0.90444,0.71831,0.67934,0.49292,0.00347,0.000351396,0.000351396,0.000351396
117,1642.16,0.58247,0.25889,0.00218,0.87242,0.88266,0.89391,0.70581,0.69486,0.52168,0.00361,0.000350496,0.000350496,0.000350496
118,1655.49,0.56809,0.24056,0.00217,0.88165,0.89921,0.91107,0.72318,0.68027,0.46632,0.00351,0.000349595,0.000349595,0.000349595
119,1669.17,0.57604,0.23793,0.00221,0.8887,0.89134,0.90866,0.71413,0.69925,0.49391,0.00364,0.000348694,0.000348694,0.000348694
120,1682.98,0.5746,0.23496,0.00217,0.88087,0.87763,0.90102,0.71449,0.68544,0.5365,0.00356,0.000347793,0.000347793,0.000347793
121,1696.61,0.56791,0.23534,0.00211,0.89605,0.87943,0.90757,0.7192,0.67367,0.48762,0.00348,0.000346892,0.000346892,0.000346892
122,1710.33,0.56271,0.23973,0.00213,0.86748,0.9051,0.90923,0.71283,0.70539,0.5201,0.00369,0.000345991,0.000345991,0.000345991
123,1723.69,0.56795,0.23184,0.00216,0.8823,0.89784,0.90538,0.71674,0.69004,0.53492,0.00359,0.00034509,0.00034509,0.00034509
124,1737.24,0.56728,0.23238,0.00214,0.88726,0.90151,0.91481,0.73153,0.67485,0.48865,0.00345,0.000344189,0.000344189,0.000344189
125,1752.7,0.55522,0.22584,0.00205,0.9058,0.88281,0.90737,0.71939,0.68095,0.49884,0.0035,0.000343288,0.000343288,0.000343288
126,1769.09,0.55478,0.23723,0.00211,0.89693,0.87796,0.90936,0.72858,0.66749,0.48737,0.00344,0.000342387,0.000342387,0.000342387
127,1782.54,0.55795,0.24199,0.00208,0.89123,0.88662,0.90116,0.71502,0.6962,0.48933,0.00362,0.000341487,0.000341487,0.000341487
128,1796.17,0.54996,0.23135,0.00208,0.87771,0.88026,0.88785,0.71057,0.69054,0.52863,0.00358,0.000340586,0.000340586,0.000340586
129,1809.77,0.56573,0.24333,0.00216,0.89995,0.87115,0.90188,0.71483,0.69347,0.50687,0.00354,0.000339685,0.000339685,0.000339685
130,1823.78,0.56033,0.24538,0.00214,0.87851,0.88745,0.89096,0.70696,0.68699,0.52404,0.00354,0.000338784,0.000338784,0.000338784
131,1837.25,0.54914,0.23325,0.0021,0.8726,0.89359,0.90201,0.71812,0.67186,0.51178,0.00345,0.000337883,0.000337883,0.000337883
132,1850.83,0.56183,0.23008,0.00214,0.89258,0.88531,0.90616,0.72077,0.68599,0.50387,0.00354,0.000336982,0.000336982,0.000336982
133,1864.41,0.56384,0.24052,0.00213,0.88975,0.88032,0.89521,0.70753,0.69091,0.51949,0.00361,0.000336081,0.000336081,0.000336081
134,1877.82,0.55182,0.22811,0.00209,0.87493,0.89331,0.89634,0.71436,0.67416,0.51101,0.00349,0.00033518,0.00033518,0.00033518
135,1891.54,0.55081,0.22489,0.00212,0.88732,0.89045,0.89056,0.7088,0.67488,0.51477,0.00346,0.000334279,0.000334279,0.000334279
136,1905.15,0.55172,0.23726,0.00212,0.88203,0.91291,0.91718,0.72187,0.69225,0.47583,0.00358,0.000333379,0.000333379,0.000333379
137,1918.53,0.5425,0.22861,0.00203,0.89871,0.88492,0.90514,0.71886,0.68652,0.47074,0.00354,0.000332478,0.000332478,0.000332478
138,1932.08,0.55159,0.23672,0.00203,0.90163,0.88621,0.9042,0.71965,0.68102,0.49688,0.00351,0.000331577,0.000331577,0.000331577
